"source_string","translated_string","context"
"Vendor Name","Nome fornitore",""
"Vendor Quotes","Preventivi fornitori",""
"Vendors","Fornitori",""
"Verified","Verificato",""
"Workflow State","Stato workflow",""
"Year","Anno",""
"Year is required to generate Budget name","Anno obbligatorio per generare il nome del budget",""
"Yearly","Annuale",""
"Yes","Sì",""
"at","alle",""
"by","da",""
"vCIO Manager","vCIO Manager",""
"{0} is non-zero but no VAT rate is specified. Please set a VAT rate on this row or configure a default VAT rate in MPIT Settings.","{0} è diverso da zero ma non è stata specificata alcuna aliquota IVA. Imposta un'aliquota IVA su questa riga o configura un'aliquota IVA predefinita nelle Impostazioni MPIT.",""
"Enter the year identifier (e.g. 2025).","Inserisci l'identificativo dell'anno (es. 2025).",""
"Date when the year period starts.","Data di inizio del periodo annuale.",""
"Date when the year period ends.","Data di fine del periodo annuale.",""
"Enter the category name.","Inserisci il nome della categoria.",""
"Select the parent category.","Seleziona la categoria padre.",""
"Enter numeric order for sorting categories.","Inserisci l'ordinamento numerico delle categorie.",""
"Calculated automatically for tree positioning.","Calcolato automaticamente per la posizione nell'albero.",""
"Previous parent category captured during moves.","Categoria padre precedente registrata durante gli spostamenti.",""
"Parent category used by tree view.","Categoria padre usata dalla vista ad albero.",""
"Enter the vendor name.","Inserisci il nome del fornitore.",""
"Enter the vendor VAT ID.","Inserisci la partita IVA del fornitore.",""
"Enter the main contact email.","Inserisci l'e-mail di contatto principale.",""
"Enter the main contact phone number.","Inserisci il numero di telefono di contatto.",""
"Add internal notes about the vendor.","Aggiungi note interne sul fornitore.",""
"Select the default currency for Master Plan IT calculations.","Seleziona la valuta predefinita per i calcoli di Master Plan IT.",""
"Days before renewal dates treated as the renewal window.","Giorni prima delle date di rinnovo considerati nella finestra di rinnovo.",""
"Enter the milestone title.","Inserisci il titolo della milestone.",""
"Date when the milestone is due.","Data di scadenza della milestone.",""
"Choose the milestone status.","Seleziona lo stato della milestone.",""
"Date when the milestone was accepted.","Data in cui la milestone è stata accettata.",""
"Add notes about the milestone.","Aggiungi note sulla milestone.",""
"Upload any supporting attachment.","Carica eventuali allegati di supporto.",""
"Select the year for this allocation.","Seleziona l'anno per questa allocazione.",""
"Enter the planned amount for this year.","Inserisci l'importo previsto per questo anno.",""
"VAT rate applied to the planned amount.","Aliquota IVA applicata all'importo previsto.",""
"Calculated automatically from planned amount and VAT settings.","Calcolato automaticamente dall'importo previsto e dalle impostazioni IVA.",""
"Select the vendor providing the quote.","Seleziona il fornitore che ha inviato il preventivo.",""
"Enter the quoted amount.","Inserisci l'importo preventivato.",""
"Date when the quote was received.","Data in cui è stato ricevuto il preventivo.",""
"Upload the quote document.","Carica il documento del preventivo.",""
"Choose the quote status.","Seleziona lo stato del preventivo.",""
"VAT rate applied to the quote amount.","Aliquota IVA applicata all'importo preventivato.",""
"Enter the project title.","Inserisci il titolo del progetto.",""
"Add a brief description of the project.","Aggiungi una breve descrizione del progetto.",""
"Choose the project status; at least one allocation is required before approval or later states.","Seleziona lo stato del progetto; è necessaria almeno un'allocazione prima degli stati approvati o successivi.",""
"Date when the project starts.","Data di inizio del progetto.",""
"Date when the project ends.","Data di fine del progetto.",""
"Select the project owner.","Seleziona il responsabile del progetto.",""
"Add one or more allocations with year and planned amount.","Aggiungi una o più allocazioni con anno e importo previsto.",""
"Add vendor quotes for this project.","Aggiungi i preventivi dei fornitori per il progetto.",""
"Add project milestones.","Aggiungi le milestone del progetto.",""
"Select the user these preferences apply to.","Seleziona l'utente a cui si applicano queste preferenze.",""
"Prefix used when generating budget names.","Prefisso usato durante la generazione dei nomi dei budget.",""
"Number of digits for budget sequence numbers.","Numero di cifre per la numerazione dei budget.",""
"Prefix used when generating project names.","Prefisso usato durante la generazione dei nomi dei progetti.",""
"Number of digits for project sequence numbers.","Numero di cifre per la numerazione dei progetti.",""
"Select the budget being amended.","Seleziona il budget oggetto dell'emendamento.",""
"Date when this amendment takes effect.","Data in cui questo emendamento entra in vigore.",""
"Describe why the budget is being amended.","Descrivi perché il budget viene emendato.",""
"Add amendment lines detailing the changes.","Aggiungi le righe di emendamento con le modifiche.",""
"Reference to the original amendment this document was copied from.","Riferimento all'emendamento originale da cui è stato copiato questo documento.",""
"Select the category for this change.","Seleziona la categoria per questa modifica.",""
"Select the vendor linked to this change.","Seleziona il fornitore collegato a questa modifica.",""
"Describe the change captured by this line.","Descrivi la modifica apportata da questa riga.",""
"Enter the adjustment amount for this line.","Inserisci l'importo di variazione per questa riga.",""
"Add an internal note for this line.","Aggiungi una nota interna per questa riga.",""
"VAT rate applied to the adjustment.","Aliquota IVA applicata all'importo di variazione.",""
"Calculated automatically from delta amount and VAT settings.","Calcolato automaticamente dall'importo di variazione e dalle impostazioni IVA.",""
"Calculated automatically as the VAT portion of the delta.","Calcolato automaticamente come quota IVA della variazione.",""
"Calculated automatically as the gross delta amount.","Calcolato automaticamente come importo lordo della variazione.",""
"Select the budget year.","Seleziona l'anno del budget.",""
"Enter a short budget title.","Inserisci un titolo breve per il budget.",""
"Workflow status set by the approval process.","Stato del workflow impostato dal processo di approvazione.",""
"Calculated automatically as the sum of line amounts.","Calcolato automaticamente come somma degli importi delle righe.",""
"Calculated automatically as the sum of line VAT amounts.","Calcolato automaticamente come somma degli importi IVA delle righe.",""
"Calculated automatically as the sum of net amounts.","Calcolato automaticamente come somma degli importi netti.",""
"Calculated automatically as the sum of gross amounts.","Calcolato automaticamente come somma degli importi lordi.",""
"Reference to the original budget this document was amended from.","Riferimento al budget originale da cui questo documento è stato emendato.",""
"Select the budget category.","Seleziona la categoria di budget.",""
"Select the vendor for this line.","Seleziona il fornitore per questa riga.",""
"Link to the baseline expense this line is based on.","Collega la spesa di baseline su cui si basa questa riga.",""
"Describe this budget line.","Descrivi questa riga di budget.",""
"Enter the budgeted amount; use net or gross per the VAT setting.","Inserisci l'importo di budget; usa netto o lordo secondo l'impostazione IVA.",""
"Choose whether the cost is CAPEX or OPEX.","Scegli se il costo è CAPEX o OPEX.",""
"Choose how this amount recurs for annualization.","Scegli come questo importo si ripete per l'annualizzazione.",""
"Start date of the period used to calculate overlap with the budget year.","Data di inizio del periodo usata per calcolare la sovrapposizione con l'anno di budget.",""
"End date of the period used to calculate overlap with the budget year.","Data di fine del periodo usata per calcolare la sovrapposizione con l'anno di budget.",""
"Select the year this expense belongs to.","Seleziona l'anno a cui appartiene questa spesa.",""
"Date when the baseline expense is recorded.","Data di registrazione della spesa di baseline.",""
"Select the expense category.","Seleziona la categoria della spesa.",""
"Select the vendor for this expense.","Seleziona il fornitore per questa spesa.",""
"Describe the baseline expense.","Descrivi la spesa di baseline.",""
"Enter the expense amount; use net or gross per the VAT setting.","Inserisci l'importo della spesa; usa netto o lordo secondo l'impostazione IVA.",""
"Current review status of this expense.","Stato di revisione corrente di questa spesa.",""
"Choose how this expense recurs for annualization.","Scegli come questa spesa si ripete per l'annualizzazione.",""
"Number of months per cycle when using a Custom recurrence.","Numero di mesi per ciclo quando si usa una ricorrenza personalizzata.",""
"Start date of the period used to calculate overlap with the year.","Data di inizio del periodo usata per calcolare la sovrapposizione con l'anno.",""
"End date of the period used to calculate overlap with the year.","Data di fine del periodo usata per calcolare la sovrapposizione con l'anno.",""
"Calculated automatically as the annualized net amount.","Calcolato automaticamente come importo netto annualizzato.",""
"Calculated automatically as the annualized VAT amount.","Calcolato automaticamente come importo IVA annualizzato.",""
"Calculated automatically as the annualized gross amount.","Calcolato automaticamente come importo lordo annualizzato.",""
"Enter the contract title.","Inserisci il titolo del contratto.",""
"Select the vendor for this contract.","Seleziona il fornitore per questo contratto.",""
"Select the category for this contract.","Seleziona la categoria per questo contratto.",""
"Choose the billing cycle for this contract.","Scegli il ciclo di fatturazione per questo contratto.",""
"Date when the contract starts.","Data di inizio del contratto.",""
"Date when the contract ends.","Data di fine del contratto.",""
"Next renewal date for this contract.","Prossima data di rinnovo per questo contratto.",""
"Number of notice days required before renewal.","Numero di giorni di preavviso richiesti prima del rinnovo.",""
"Enter the current contract amount; use net or gross per the VAT setting.","Inserisci l'importo corrente del contratto; usa netto o lordo secondo l'impostazione IVA.",""
"Choose the current contract status.","Seleziona lo stato attuale del contratto.",""
"Select the contract owner.","Seleziona il responsabile del contratto.",""
"Link to the baseline expense that created this contract.","Collega la spesa di baseline che ha creato questo contratto.",""
"Add internal notes about the contract.","Aggiungi note interne sul contratto.",""
"Upload the contract file.","Carica il file del contratto.",""
"VAT rate applied to the current amount.","Aliquota IVA applicata all'importo corrente.",""
"Calculated automatically from current amount and VAT settings.","Calcolato automaticamente dall'importo corrente e dalle impostazioni IVA.",""
"Posting date for the entry; used to derive the MPIT Year.","Data di registrazione; usata per derivare l'anno MPIT.",""
"Derived MPIT Year based on the posting date.","Anno MPIT derivato in base alla data di registrazione.",""
"Select the category for this entry.","Seleziona la categoria per questa registrazione.",""
"Select the vendor involved in this entry.","Seleziona il fornitore coinvolto in questa registrazione.",""
"Select the budget this entry relates to.","Seleziona il budget a cui si riferisce questa registrazione.",""
"Enter the actual amount; use net or gross per the VAT setting.","Inserisci l'importo effettivo; usa netto o lordo secondo l'impostazione IVA.",""
"Describe the actual entry.","Descrivi la registrazione effettiva.",""
"Choose whether the entry is recorded or verified.","Scegli se la registrazione è registrata o verificata.",""
"VAT rate applied to the amount.","Aliquota IVA applicata all'importo.",""
"Calculated automatically from amount and VAT settings.","Calcolato automaticamente dall'importo e dalle impostazioni IVA.",""
"Calculated automatically as the VAT portion.","Calcolato automaticamente come quota IVA.",""
"Calculated automatically as the gross amount.","Calcolato automaticamente come importo lordo.",""
"If enabled, attachments are shown on print formats.","Se abilitato, gli allegati vengono mostrati nei formati di stampa.",""
"If enabled, category can contain child categories.","Se abilitato, la categoria può contenere sottocategorie.",""
"If enabled, new amounts default to VAT-inclusive.","Se abilitato, i nuovi importi sono predefiniti come IVA inclusa.",""
"If enabled, the adjustment amount includes VAT.","Se abilitato, l'importo di variazione include l'IVA.",""
"If enabled, the amount includes VAT.","Se abilitato, l'importo include l'IVA.",""
"If enabled, the budget line is active.","Se abilitato, la riga di budget è attiva.",""
"If enabled, the category is active for use.","Se abilitato, la categoria è attiva per l'uso.",""
"If enabled, the contract renews automatically.","Se abilitato, il contratto si rinnova automaticamente.",""
"If enabled, the current amount includes VAT.","Se abilitato, l'importo corrente include l'IVA.",""
"If enabled, the planned amount includes VAT.","Se abilitato, l'importo previsto include l'IVA.",""
"If enabled, the vendor is active for selection.","Se abilitato, il fornitore è attivo per la selezione.",""
"If enabled, the year is active for planning.","Se abilitato, l'anno è attivo per la pianificazione.",""
"Add budget lines for categories, vendors, and amounts.","Aggiungi righe di budget con categorie, fornitori e importi.",""
"Choose the contract type (contract, subscription, renewal, or maintenance).","Scegli il tipo di contratto (contratto, abbonamento, rinnovo o manutenzione).",""
"Choose the expense kind (one-off, subscription, renewal, or contract).","Scegli il tipo di spesa (una tantum, abbonamento, rinnovo annuale o contratto).",""
"Contract end date, if relevant.","Data di fine del contratto, se rilevante.",""
"Contract start date, if relevant.","Data di inizio del contratto, se rilevante.",""
"Default VAT rate for new entries (leave blank for no default, 0 is valid)","Aliquota IVA predefinita per nuove registrazioni (lascia vuoto per nessun valore predefinito, 0 è valido)",""
"Reference to the related budget line, if applicable.","Riferimento alla riga di budget collegata, se applicabile.",""
"Select the related contract, if applicable.","Seleziona il contratto collegato, se applicabile.",""
"Select the related project, if applicable.","Seleziona il progetto collegato, se applicabile.",""
"Variance / Allowance entries (Verified only count).","Voci di eccezione/spesa plafond (contano solo le Verificate).",""
"Exceptions / Allowance Entries","Eccezioni / Spese plafond",""
"Baseline vs Exceptions","Baseline vs Eccezioni",""
"Monthly Plan vs Exceptions","Piano mensile vs Eccezioni",""
"Projects Planned vs Exceptions","Progetti pianificati vs Eccezioni",""
"Current Plan vs Exceptions","Piano corrente vs Eccezioni",""
"MPIT Baseline vs Exceptions","MPIT Baseline vs Eccezioni",""
"MPIT Current Plan vs Exceptions","MPIT Piano corrente vs Eccezioni",""
"MPIT Monthly Plan vs Exceptions","MPIT Piano mensile vs Eccezioni",""
"MPIT Projects Planned vs Exceptions","MPIT Progetti pianificati vs Eccezioni",""
"Delta links contract/project; Allowance Spend needs cost center and no links.","Delta richiede contratto o progetto; Spesa plafond richiede centro di costo e nessun collegamento.",""
"Currency is required. Please set a Currency on MPIT Settings.","La valuta è obbligatoria. Impostare una valuta in Impostazioni MPIT.",""
"Spread and rate schedule cannot both be set.","Il piano di dilazione e il calendario tariffe non possono essere entrambi impostati.",""
"Rate row is missing effective_from.","Nella riga tariffa manca effective_from.",""
"Rate schedule must be strictly increasing by effective_from (no duplicates or overlaps).","Il calendario tariffe deve essere ordinato in modo crescente per effective_from (senza duplicati o sovrapposizioni).",""
"Rate Amount","Importo tariffa",""
"Currency is required. Please create at least one Currency and set MPIT Settings.","La valuta è obbligatoria. Creare almeno una valuta e impostare Impostazioni MPIT.",""
"Generated line {0} is read-only (field {1}).","La riga generata {0} è in sola lettura (campo {1}).",""
"Select a Contract or a Project (not both).","Seleziona un contratto o un progetto (non entrambi).",""
"Exceptions (Verified)","Eccezioni (Verificate)",""
"Snapshot (APP)","Snapshot (Approvato)",""
"Addendum Total","Totale Addendum",""
"Over Cap","Oltre il Plafond",""
"Source","Sorgente",""
"Year is required","Anno richiesto",""
"budget_a is required","budget_a è obbligatorio",""
"budget_b is required","budget_b è obbligatorio",""
"budget_a and budget_b must be different budgets","budget_a e budget_b devono essere budget diversi",""
"group_by must be either 'CostCenter+Vendor' or 'CostCenter'","group_by deve essere 'CostCenter+Vendor' o 'CostCenter'",""
"Budget A Annual Net","Budget A Netto Annuale",""
"Budget B Annual Net","Budget B Netto Annuale",""
"Delta Annual (B - A)","Delta Annuale (B - A)",""
"Budget A Monthly Eq","Budget A Equivalente Mensile",""
"Budget B Monthly Eq","Budget B Equivalente Mensile",""
"Delta Monthly Eq","Delta Equivalente Mensile",""
"Budget A","Budget A",""
"Budget B","Budget B",""
"Delta (B - A)","Delta (B - A)",""
"Total","Totale",""
"Jan","Gen",""
"Feb","Feb",""
"Mar","Mar",""
"Apr","Apr",""
"May","Mag",""
"Jun","Giu",""
"Jul","Lug",""
"Aug","Ago",""
"Sep","Set",""
"Oct","Ott",""
"Nov","Nov",""
"Dec","Dic",""
"Planned Items","Elementi previsti",""
"% Variance","% Scostamento",""
"No MPIT Year found. Please create one or set the Year filter.","Nessun anno MPIT trovato. Crearne uno o impostare il filtro Anno.",""
"Project Status","Stato Progetto",""
"Plan (Live)","Piano (Live)",""
"Cap","Plafond",""
"Remaining","Rimanente",""
"% Used","% Utilizzato",""
"Planned (Net)","Previsto (Netto)",""
"Delta","Delta",""
"Cost Center","Centro di Costo",""
"Brief description of the quote.","Breve descrizione del preventivo.",""
"Brief description (optional).","Descrizione sintetica (opzionale).",""
"Link the Planned Item this contract covers (prevents double counting).","Collega il Planned Item che questo contratto copre (esclude doppio conteggio).",""
"Operational status.","Stato operativo.",""
"Cost Center (Caps/Reporting).","Cost Center di imputazione (caps/report).",""
"Contract start date.","Data inizio contratto.",""
"Contract end date.","Data fine contratto.",""
"Auto-renew with notice.","Rinnovo automatico con notice.",""
"Next renewal date (auto if missing).","Prossima data rinnovo (auto se mancante).",""
"Recurring amount and billing cycle.","Importo ricorrente e cadenza di fatturazione.",""
"Current amount for the chosen cycle (net or gross per VAT flag).","Importo corrente per la cadenza scelta (netto o lordo in base al flag IVA).",""
"If enabled, amount includes VAT (net/calcs adjusted automatically).","Se selezionato, l'importo include IVA (netto/calcoli adeguati automaticamente).",""
"VAT Rate applied to current amount (uses user default if empty).","Aliquota IVA applicata all'importo corrente (usa il default dell'utente se vuoto).",""
"Billing cycle for the current amount.","Cadenza di fatturazione per l'importo corrente.",""
"Monthly (Net) equivalent calculated based on amount/cycle or spread. Empty if using rate schedule.","Equivalente mensile (netto) calcolato in base a importo/cadenza o spread. Vuoto se usi una rate schedule.",""
"Auto-calculated (Net).","Calcolo automatico (net).",""
"Auto-calculated VAT.","Calcolo automatico IVA.",""
"Auto-calculated Gross.","Calcolo automatico lordo.",""
"Unique Document ID (name).","ID univoco del documento (name).",""
"Project Title.","Titolo del progetto.",""
"Status (requires at least one allocation for Approved+).","Stato (richiede almeno una allocation per Approved+).",""
"Main Cost Center (Report/Cap).","Cost Center principale (report/cap).",""
"Start Date (requires end_date if set).","Data inizio (richiede end_date se valorizzata).",""
"End Date (>= start).","Data fine (>= start).",""
"Brief notes on scope.","Note sintetiche sul perimetro.",""
"Posting Date (derives MPIT Year).","Data registrazione (deriva l'MPIT Year).",""
"Derived MPIT Year.","MPIT Year derivato.",""
"Recorded or Verified (only vCIO can revert).","Recorded o Verified (solo vCIO può revert).",""
"Delta = contract/project, Allowance Spend = cost center (no link).","Delta = contract/project, Allowance Spend = cost center (nessun link).",""
"Motivation / note (required for negative allowance).","Motivazione / nota (richiesta per allowance negativa).",""
"Amount (net or gross per flag).","Importo (netto o lordo secondo flag).",""
"Links (choose one source only)","Links (scegli una sola fonte)",""
"For Delta: link a Contract (or a Project).","Per Delta: collega un Contract (oppure un Project).",""
"For Delta: link a Project (or a Contract).","Per Delta: collega un Project (oppure un Contract).",""
"If present, Actual covers the Planned Item and excludes it from budget.","Se presente, l'Actual copre il Planned Item e lo esclude dal budget.",""
"For Allowance Spend: choose cost center (auto from Contract/Project if present).","Per Allowance Spend: scegli il cost center (auto da Contract/Project se presenti).",""
"Short title (e.g. \2025 Forecast\"").""","Titolo sintetico (es. \2025 Forecast\"").""",""
"Visible status (Draft/Proposed/In Review/Approved for Snapshot; Active/Closed for Live).","Stato visibile (Draft/Proposed/In Review/Approved per Snapshot; Active/Closed per Live).",""
"Lines from sources (contracts/projects) + manual (Allowance cap per cost center).","Righe da fonti (contracts/projects) + manuali (Allowance cap per cost center).",""
"Abbreviation","Abbreviation",""
"Actions","Actions",""
"Actual","Actual",""
"Actual (Verified)","Actual (Verified)",""
"Actual Entries","Actual Entries",""
"Actual Entries (Verified)","Actual Entries (Verified)",""
"Actual Entries by Status","Voci effettive per stato",""
"Actual: {0}","Actual: {0}",""
"Addendum","Addendum",""
"Addendums (Approved)","Addendum (Approvati)",""
"Admin","Amministrazione",""
"Advanced","Avanzate",""
"Allowance Spend cannot link a contract or project.","La spesa plafond non può essere collegata a un contratto o progetto.",""
"Amended From","Emendato da",""
"Amount","Importo",""
"Amount Includes VAT","Importo include IVA",""
"Amounts & VAT","Importi e IVA",""
"Amounts Include VAT","Importi includono IVA",""
"Annual Amount","Importo annuale",""
"Annual Gross","Lordo annuale",""
"Annual Net","Netto annuale",""
"Annual VAT","IVA annuale",""
"Annual amount. Enter here OR in Monthly Amount - the other will be calculated.","Importo annuale. Inserisci qui O in Importo mensile - l'altro verrà calcolato.",""
"Annual delta (Cap) - can be negative.","Delta annuale (Plafond) - può essere negativo.",""
"Annualized Totals","Totali annualizzati",""
"Approved status is reserved for Snapshot budgets.","Lo stato Approvato è riservato ai budget Snapshot.",""
"Attachment","Allegato",""
"Auto Renew","Rinnovo automatico",""
"Auto Renew Only","Solo rinnovo automatico",""
"Auto-created Live budget for year {0} (auto-refresh event).","Budget Live creato automaticamente per l'anno {0} (evento auto-refresh).",""
"Auto-refresh skipped: year {0} is closed.","Auto-refresh saltato: l'anno {0} è chiuso.",""
"Billing Cycle","Ciclo di fatturazione",""
"Budget Addendums","Addendum Budget",""
"Budget Diff","Differenza Budget",""
"Budget Digits","Cifre Budget",""
"Budget Prefix","Prefisso Budget",""
"Budget Summary","Riepilogo Budget",""
"Budget Summary — Year {0}","Riepilogo Budget — Anno {0}",""
"Budget Totals","Totali Budget",""
"Budget Type","Tipo di Budget",""
"Budget name is required","Il nome del budget è obbligatorio",""
"Budget naming requires year parameter (Budget.year field)","La denominazione del budget richiede il parametro anno (campo Budget.year)",""
"Budget refreshed from sources.","Budget aggiornato dalle fonti.",""
"Budget type (Live or Snapshot).","Tipo di budget (Live o Snapshot).",""
"Budgets","Budget",""
"Budgets (Live)","Budget (Live)",""
"Budgets (Snapshot)","Budget (Snapshot)",""
"Budgets by Type","Budget per Tipo",""
"Calculated automatically as the sum of annual amounts.","Calcolato automaticamente come somma degli importi annuali.",""
"Calculated automatically as the sum of monthly amounts.","Calcolato automaticamente come somma degli importi mensili.",""
"Calculated automatically: annual amount net of VAT.","Calcolato automaticamente: importo annuale al netto dell'IVA.",""
"Cap: {0} (Allowance {1} + Addendum {2})","Plafond: {0} (Allowance {1} + Addendum {2})",""
"Change Year","Cambia Anno",""
"Chiave generata (solo lettura).","Chiave generata (solo lettura).",""
"Confronto tra due budget","Confronto tra due budget",""
"Contact Email","Email di contatto",""
"Contact Phone","Telefono di contatto",""
"Contract","Contratto",""
"Contract (Delta)","Contratto (Delta)",""
"Contract Digits","Cifre Contratto",""
"Contract Prefix","Prefisso Contratto",""
"Contract {0} is missing Cost Center. Please set it to include in Forecast.","Il contratto {0} non ha un Centro di Costo. Impostarlo per includerlo nella previsione.",""
"Contracts","Contratti",""
"Contracts by Status","Contratti per Stato",""
"Contratti in scadenza","Contratti in scadenza",""
"Cost Center (Allowance)","Centro di Costo (Allowance)",""
"Cost Center Name","Nome Centro di Costo",""
"Cost Center impacted by the cap change.","Centro di Costo impattato dalla modifica del plafond.",""
